iter	Passed	Remaining
0	156	155897
1	161	80801
2	167	55772
3	173	43154
4	178	35545
5	183	30432
6	189	26896
7	196	24375
8	202	22255
9	207	20550
10	213	19160
11	218	18007
12	223	17003
13	229	16190
14	235	15450
15	240	14801
16	245	14201
17	252	13769
18	257	13287
19	264	12937
20	269	12551
21	274	12214
22	280	11917
23	286	11633
24	291	11386
25	297	11158
26	303	10940
27	309	10739
28	314	10537
29	320	10346
30	325	10173
31	330	10007
32	336	9857
33	341	9714
34	347	9570
35	352	9446
36	358	9317
37	363	9193
38	368	9082
39	373	8973
40	379	8870
41	384	8773
42	389	8678
43	395	8590
44	400	8494
45	405	8413
46	410	8325
47	415	8248
48	421	8182
49	427	8120
50	432	8049
51	438	7986
52	443	7922
53	448	7855
54	453	7797
55	458	7732
56	463	7669
57	468	7613
58	473	7559
59	478	7498
60	484	7453
61	489	7404
62	494	7351
63	499	7300
64	504	7252
65	509	7208
66	514	7166
67	520	7128
68	525	7092
69	530	7048
70	535	7001
71	539	6958
72	545	6926
73	550	6886
74	555	6847
75	560	6814
76	565	6779
77	571	6751
78	576	6722
79	581	6690
80	586	6654
81	591	6622
82	597	6596
83	601	6564
84	606	6529
85	611	6504
86	616	6471
87	621	6439
88	626	6416
89	632	6390
90	636	6362
91	642	6343
92	648	6321
93	653	6299
94	658	6277
95	663	6249
96	668	6222
97	673	6200
98	678	6175
99	683	6151
100	688	6125
101	693	6104
102	698	6081
103	703	6059
104	708	6042
105	714	6026
106	719	6005
107	724	5983
108	729	5966
109	734	5946
110	740	5932
111	746	5917
112	751	5896
113	756	5877
114	761	5859
115	766	5843
116	772	5827
117	777	5810
118	782	5795
119	788	5778
120	793	5762
121	799	5752
122	804	5738
123	810	5723
124	815	5709
125	820	5692
126	826	5678
127	831	5666
128	837	5653
129	843	5642
130	848	5626
131	853	5612
132	859	5600
133	864	5585
134	869	5574
135	874	5557
136	879	5543
137	885	5528
138	890	5516
139	895	5502
140	901	5491
141	906	5478
142	912	5466
143	917	5454
144	923	5443
145	928	5432
146	934	5419
147	939	5409
148	945	5400
149	951	5389
150	955	5374
151	961	5364
152	967	5356
153	973	5348
154	979	5338
155	984	5326
156	990	5316
157	995	5303
158	1000	5294
159	1006	5284
160	1012	5275
161	1017	5265
162	1023	5254
163	1028	5244
164	1034	5234
165	1040	5229
166	1048	5228
167	1055	5229
168	1062	5225
169	1069	5221
170	1076	5219
171	1083	5216
172	1090	5211
173	1097	5212
174	1104	5207
175	1111	5205
176	1119	5204
177	1126	5203
178	1133	5199
179	1140	5197
180	1147	5191
181	1153	5186
182	1160	5181
183	1167	5176
184	1173	5169
185	1180	5166
186	1187	5160
187	1193	5153
188	1200	5149
189	1206	5144
190	1213	5141
191	1221	5138
192	1228	5135
193	1234	5127
194	1240	5122
195	1247	5117
196	1254	5112
197	1261	5107
198	1267	5102
199	1274	5099
200	1281	5095
201	1288	5089
202	1294	5084
203	1301	5079
204	1308	5073
205	1315	5070
206	1323	5068
207	1330	5064
208	1337	5061
209	1345	5061
210	1353	5059
211	1360	5057
212	1368	5055
213	1375	5051
214	1381	5044
215	1389	5042
216	1395	5037
217	1402	5029
218	1408	5022
219	1415	5018
220	1421	5011
221	1428	5004
222	1434	4999
223	1441	4993
224	1447	4986
225	1453	4978
226	1460	4972
227	1466	4963
228	1472	4957
229	1477	4947
230	1484	4942
231	1490	4933
232	1496	4925
233	1502	4919
234	1508	4911
235	1514	4902
236	1519	4893
237	1526	4888
238	1532	4880
239	1538	4871
240	1544	4865
241	1551	4860
242	1558	4855
243	1564	4848
244	1570	4840
245	1576	4833
246	1583	4826
247	1588	4818
248	1595	4810
249	1601	4805
250	1608	4799
251	1613	4790
252	1619	4782
253	1626	4778
254	1633	4772
255	1639	4764
256	1645	4756
257	1651	4751
258	1658	4745
259	1664	4738
260	1671	4733
261	1677	4726
262	1683	4718
263	1689	4711
264	1696	4705
265	1702	4697
266	1708	4691
267	1714	4682
268	1720	4675
269	1726	4668
270	1732	4659
271	1738	4652
272	1744	4646
273	1751	4639
274	1756	4631
275	1763	4625
276	1770	4620
277	1776	4613
278	1782	4606
279	1788	4599
280	1795	4594
281	1802	4588
282	1808	4581
283	1814	4574
284	1820	4567
285	1827	4562
286	1833	4556
287	1840	4549
288	1846	4543
289	1853	4537
290	1859	4530
291	1865	4523
292	1882	4542
293	1895	4552
294	1908	4561
295	1922	4573
296	1933	4577
297	1940	4570
298	1947	4566
299	1954	4560
300	1964	4562
301	1970	4554
302	1975	4545
303	1981	4536
304	1987	4529
305	1993	4520
306	1999	4512
307	2004	4504
308	2010	4496
309	2016	4489
310	2022	4481
311	2028	4472
312	2034	4464
313	2039	4455
314	2045	4447
315	2050	4439
316	2056	4431
317	2063	4424
318	2068	4415
319	2074	4407
320	2080	4400
321	2086	4392
322	2091	4383
323	2096	4374
324	2102	4367
325	2108	4358
326	2114	4352
327	2120	4344
328	2126	4336
329	2132	4328
330	2137	4320
331	2143	4313
332	2149	4305
333	2155	4297
334	2160	4289
335	2166	4281
336	2171	4272
337	2177	4264
338	2183	4256
339	2188	4248
340	2194	4240
341	2199	4231
342	2205	4224
343	2211	4217
344	2216	4208
345	2222	4201
346	2228	4193
347	2234	4185
348	2239	4178
349	2245	4170
350	2250	4161
351	2256	4153
352	2262	4145
353	2268	4139
354	2273	4130
355	2278	4122
356	2284	4114
357	2290	4107
358	2296	4099
359	2302	4092
360	2307	4084
361	2313	4077
362	2319	4069
363	2324	4062
364	2330	4053
365	2335	4046
366	2341	4038
367	2347	4031
368	2352	4022
369	2357	4014
370	2363	4007
371	2369	4000
372	2375	3992
373	2381	3985
374	2386	3977
375	2391	3969
376	2398	3963
377	2404	3956
378	2410	3949
379	2416	3942
380	2421	3934
381	2427	3927
382	2433	3920
383	2439	3913
384	2445	3906
385	2450	3898
386	2457	3891
387	2462	3884
388	2468	3876
389	2474	3869
390	2479	3862
391	2485	3855
392	2491	3847
393	2497	3840
394	2502	3833
395	2508	3826
396	2514	3818
397	2519	3811
398	2525	3803
399	2531	3797
400	2537	3790
401	2543	3783
402	2549	3776
403	2555	3770
404	2561	3763
405	2566	3755
406	2573	3749
407	2579	3742
408	2585	3735
409	2590	3727
410	2596	3721
411	2602	3714
412	2608	3707
413	2614	3700
414	2619	3693
415	2625	3685
416	2630	3678
417	2636	3670
418	2642	3664
419	2647	3656
420	2652	3648
421	2658	3641
422	2664	3634
423	2669	3627
424	2675	3619
425	2681	3612
426	2687	3605
427	2692	3598
428	2698	3591
429	2703	3583
430	2708	3576
431	2714	3569
432	2720	3562
433	2727	3556
434	2732	3549
435	2738	3542
436	2744	3535
437	2749	3528
438	2755	3521
439	2761	3514
440	2766	3507
441	2772	3500
442	2778	3493
443	2783	3485
444	2789	3478
445	2794	3471
446	2800	3464
447	2806	3457
448	2813	3452
449	2818	3445
450	2824	3438
451	2829	3430
452	2836	3424
453	2841	3417
454	2846	3409
455	2852	3402
456	2859	3397
457	2864	3389
458	2870	3382
459	2875	3375
460	2881	3369
461	2888	3363
462	2893	3355
463	2898	3348
464	2905	3342
465	2910	3335
466	2916	3328
467	2921	3321
468	2928	3315
469	2933	3308
470	2939	3301
471	2944	3294
472	2950	3287
473	2956	3281
474	2962	3273
475	2967	3266
476	2972	3259
477	2978	3253
478	2985	3246
479	2990	3239
480	2996	3232
481	3001	3225
482	3007	3219
483	3012	3212
484	3018	3204
485	3024	3198
486	3030	3192
487	3035	3185
488	3041	3178
489	3046	3170
490	3052	3163
491	3057	3156
492	3062	3149
493	3068	3142
494	3074	3136
